Timestamp	Lambda3	Lambda4	Lambda5	Lambda6	Lambda7	Lambda9	Lambda10	Lambda11	Lambda12
17/1/2023 16:24:26.28555	"152,353,278"	"152,736,495"	"153,091,191"	"153,482,239"	"153,923,666"	"154,715,151"	"155,080,155"	"155,467,739"	"155,835,516"
17/1/2023 16:24:26.78555	"152,353,098"	"152,736,543"	"153,091,085"	"153,482,064"	"153,923,473"	"154,715,096"	"155,079,939"	"155,467,739"	"155,835,494"
17/1/2023 16:24:27.28555	"152,353,216"	"152,736,417"	"153,090,850"	"153,482,062"	"153,923,344"	"154,714,959"	"155,080,010"	"155,467,739"	"155,835,462"
17/1/2023 16:24:27.78555	"152,353,149"	"152,736,190"	"153,090,918"	"153,482,145"	"153,923,271"	"154,714,854"	"155,079,939"	"155,467,739"	"155,835,480"
17/1/2023 16:24:28.28555	"152,352,920"	"152,736,098"	"153,090,868"	"153,481,965"	"153,923,233"	"154,714,872"	"155,079,742"	"155,467,312"	"155,835,471"
17/1/2023 16:24:28.78555	"152,352,868"	"152,736,046"	"153,090,846"	"153,481,781"	"153,923,125"	"154,714,842"	"155,079,705"	"155,467,312"	"155,835,379"
17/1/2023 16:24:29.28555	"152,353,001"	"152,735,861"	"153,090,747"	"153,481,813"	"153,923,098"	"154,714,697"	"155,079,662"	"155,467,312"	"155,835,445"
17/1/2023 16:24:29.78555	"152,352,992"	"152,735,965"	"153,090,592"	"153,481,758"	"153,923,013"	"154,714,673"	"155,079,651"	"155,467,312"	"155,835,373"
17/1/2023 16:24:30.28555	"152,352,598"	"152,735,983"	"153,090,600"	"153,481,507"	"153,923,078"	"154,714,569"	"155,079,589"	"155,467,312"	"155,835,246"
17/1/2023 16:24:30.78555	"152,352,645"	"152,735,902"	"153,090,595"	"153,481,588"	"153,922,920"	"154,714,576"	"155,079,632"	"155,467,312"	"155,835,242"
17/1/2023 16:24:31.28555	"152,352,648"	"152,735,806"	"153,090,536"	"153,481,502"	"153,922,806"	"154,714,512"	"155,079,682"	"155,467,312"	"155,835,140"
17/1/2023 16:24:31.78555	"152,352,716"	"152,735,763"	"153,090,384"	"153,481,492"	"153,922,818"	"154,714,480"	"155,079,386"	"155,467,312"	"155,835,225"
17/1/2023 16:24:32.28555	"152,352,711"	"152,735,777"	"153,090,405"	"153,481,438"	"153,922,852"	"154,714,432"	"155,079,612"	"155,467,202"	"155,835,173"
17/1/2023 16:24:32.78555	"152,352,397"	"152,735,862"	"153,090,319"	"153,481,374"	"153,922,786"	"154,714,338"	"155,079,594"	"155,467,202"	"155,835,201"
17/1/2023 16:24:33.28555	"152,352,646"	"152,735,687"	"153,090,212"	"153,481,322"	"153,922,613"	"154,714,350"	"155,079,400"	"155,467,202"	"155,835,133"
17/1/2023 16:24:33.78555	"152,352,581"	"152,735,459"	"153,090,170"	"153,481,231"	"153,922,680"	"154,714,257"	"155,079,398"	"155,466,927"	"155,835,128"
17/1/2023 16:24:34.28555	"152,352,416"	"152,735,500"	"153,090,183"	"153,481,362"	"153,922,562"	"154,714,299"	"155,079,380"	"155,466,927"	"155,835,149"
17/1/2023 16:24:34.78555	"152,352,428"	"152,735,712"	"153,090,132"	"153,481,144"	"153,922,510"	"154,714,220"	"155,079,346"	"155,466,927"	"155,835,143"
17/1/2023 16:24:35.28555	"152,352,434"	"152,735,472"	"153,090,086"	"153,481,235"	"153,922,415"	"154,714,234"	"155,079,129"	"155,466,927"	"155,835,085"
17/1/2023 16:24:35.78555	"152,352,353"	"152,735,392"	"153,089,996"	"153,481,045"	"153,922,554"	"154,714,189"	"155,078,988"	"155,466,927"	"155,834,994"
17/1/2023 16:24:36.28555	"152,327,284"	"152,703,801"	"153,054,709"	"153,440,552"	"153,877,480"	"154,651,783"	"155,000,282"	"155,380,659"	"155,755,237"
17/1/2023 16:24:36.78555	"152,334,035"	"152,703,592"	"153,043,087"	"153,440,552"	"153,849,484"	"154,632,496"	"155,010,093"	"155,422,888"	"155,813,412"
